Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
8,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9622,1745354313.136125,107,"[67, 133, 204, 219, 267, 396, 502, 521, 528, 602, 690, 833, 849, 961, 963, 1067, 1196, 1243, 1428, 1441, 1466, 1574, 1585, 1609, 1613, 1620, 1782, 2026, 2038, 2127, 2140, 2162, 2341, 2375, 2392, 2413, 2473, 2495, 2502, 2542, 2553, 2630, 2638, 2671, 2724, 2737, 2802, 2918, 2953, 2971, 2994, 3014, 3074, 3192, 3436, 3472, 3539, 3634, 3863, 4079, 4218, 4271, 4559, 4689, 4868, 4943, 5033, 5045, 5081, 5674, 5756, 6211, 6248, 6543, 6610, 6721, 6759, 6809, 6836, 7060, 7062, 7390, 7409, 7422, 7483, 7726, 7759, 7772, 7800, 7810, 7814, 7841, 7904, 7945, 8046, 8061, 8246, 8286, 8652, 8723, 8753, 8846, 8975, 9219, 9411, 9447, 9713]",35,31173597.078912105
8,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2947,1745354313.068421,4,"[2027, 2272, 2666, 2988]",0,27047435.186416525
8,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2968,1745354313.0917406,0,[],0,26744029.431972858
9,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745354658.993406,,,0,
9,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745354658.991396,,,0,
9,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745354658.990622,,,34,
9,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745354658.998843,,,34,
9,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745354659.003166,,,35,
9,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745354659.005253,,,35,
9,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745354659.003454,,,35,
9,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9470,1745354659.2397923,9,"[1780, 1818, 1866, 2538, 4221, 4338, 6133, 6978, 7435]",35,31664434.02815019
9,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9571,1745354659.2476041,19,"[119, 235, 352, 483, 525, 854, 931, 2282, 2517, 2625, 2747, 3223, 3646, 4220, 4302, 7061, 7775, 8370, 8915]",34,31329454.317970727
9,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9581,1745354659.1622908,2,"[613, 4797]",34,31303580.20219879
9,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9558,1745354659.2928882,96,"[54, 58, 136, 147, 211, 234, 241, 336, 364, 367, 430, 433, 441, 470, 478, 491, 494, 513, 528, 540, 565, 606, 624, 649, 684, 719, 739, 749, 759, 815, 841, 904, 976, 982, 987, 1117, 1188, 1411, 1492, 1542, 1549, 1592, 1657, 1699, 1789, 1795, 1836, 1856, 1909, 1960, 2099, 2170, 2173, 2261, 2294, 2309, 2413, 2459, 2571, 2634, 2696, 2887, 2916, 2922, 3605, 3818, 3960, 4607, 4771, 5056, 5398, 5524, 5549, 5643, 5791, 5861, 5901, 6032, 6655, 6709, 6977, 7057, 7175, 7239, 7381, 7553, 7861, 7974, 8143, 8163, 8450, 8843, 8864, 8908, 9205, 9321]",35,31373171.83227764
9,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9539,1745354659.226937,3,"[461, 473, 9190]",35,31435454.91276255
9,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2968,1745354659.2366781,2,"[2021, 2736]",0,26464359.217255563
9,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2978,1745354659.143349,4,"[768, 1665, 1894, 1981]",0,26004800.706841618
